 table_schema |     table_name     |     column_name      |          data_type          | is_nullable |  column_default   
--------------+--------------------+----------------------+-----------------------------+-------------+-------------------
 academics_v2 | Attendance         | id                   | text                        | NO          | 
 academics_v2 | Attendance         | studentId            | text                        | NO          | 
 academics_v2 | Attendance         | subjectId            | text                        | NO          | 
 academics_v2 | Attendance         | semesterId           | text                        | NO          | 
 academics_v2 | Attendance         | totalClasses         | integer                     | NO          | 
 academics_v2 | Attendance         | attendedClasses      | integer                     | NO          | 
 academics_v2 | Attendance         | batch                | text                        | YES         | 
 academics_v2 | Attendance         | createdAt            | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 academics_v2 | Attendance         | updatedAt            | timestamp without time zone | NO          | 
 academics_v2 | Grade              | id                   | text                        | NO          | 
 academics_v2 | Grade              | studentId            | text                        | NO          | 
 academics_v2 | Grade              | subjectId            | text                        | NO          | 
 academics_v2 | Grade              | semesterId           | text                        | NO          | 
 academics_v2 | Grade              | grade                | double precision            | NO          | 
 academics_v2 | Grade              | batch                | text                        | YES         | 
 academics_v2 | Grade              | createdAt            | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 academics_v2 | Grade              | updatedAt            | timestamp without time zone | NO          | 
 academics_v2 | Subject            | id                   | text                        | NO          | 
 academics_v2 | Subject            | code                 | text                        | NO          | 
 academics_v2 | Subject            | name                 | text                        | NO          | 
 academics_v2 | Subject            | credits              | integer                     | NO          | 
 academics_v2 | Subject            | department           | text                        | NO          | 
 academics_v2 | Subject            | semester             | text                        | NO          | 
 academics_v2 | _prisma_migrations | id                   | character varying           | NO          | 
 academics_v2 | _prisma_migrations | checksum             | character varying           | NO          | 
 academics_v2 | _prisma_migrations | finished_at          | timestamp with time zone    | YES         | 
 academics_v2 | _prisma_migrations | migration_name       | character varying           | NO          | 
 academics_v2 | _prisma_migrations | logs                 | text                        | YES         | 
 academics_v2 | _prisma_migrations | rolled_back_at       | timestamp with time zone    | YES         | 
 academics_v2 | _prisma_migrations | started_at           | timestamp with time zone    | NO          | now()
 academics_v2 | _prisma_migrations | applied_steps_count  | integer                     | NO          | 0
 auth_v2      | AuthCredential     | id                   | text                        | NO          | 
 auth_v2      | AuthCredential     | username             | text                        | NO          | 
 auth_v2      | AuthCredential     | passwordHash         | text                        | NO          | 
 auth_v2      | AuthCredential     | role                 | text                        | NO          | 'student'::text
 auth_v2      | AuthCredential     | createdAt            | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 auth_v2      | AuthCredential     | updatedAt            | timestamp without time zone | NO          | 
 auth_v2      | AuthCredential     | isDisabled           | boolean                     | NO          | false
 auth_v2      | OtpLog             | id                   | text                        | NO          | 
 auth_v2      | OtpLog             | username             | text                        | NO          | 
 auth_v2      | OtpLog             | otp                  | text                        | NO          | 
 auth_v2      | OtpLog             | expiresAt            | timestamp without time zone | NO          | 
 auth_v2      | OtpLog             | createdAt            | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 auth_v2      | OtpLog             | consumedAt           | timestamp without time zone | YES         | 
 auth_v2      | _prisma_migrations | id                   | character varying           | NO          | 
 auth_v2      | _prisma_migrations | checksum             | character varying           | NO          | 
 auth_v2      | _prisma_migrations | finished_at          | timestamp with time zone    | YES         | 
 auth_v2      | _prisma_migrations | migration_name       | character varying           | NO          | 
 auth_v2      | _prisma_migrations | logs                 | text                        | YES         | 
 auth_v2      | _prisma_migrations | rolled_back_at       | timestamp with time zone    | YES         | 
 auth_v2      | _prisma_migrations | started_at           | timestamp with time zone    | NO          | now()
 auth_v2      | _prisma_migrations | applied_steps_count  | integer                     | NO          | 0
 cron_v2      | Grievance          | id                   | text                        | NO          | 
 cron_v2      | Grievance          | studentId            | text                        | YES         | 
 cron_v2      | Grievance          | studentEmail         | text                        | YES         | 
 cron_v2      | Grievance          | category             | text                        | NO          | 
 cron_v2      | Grievance          | description          | text                        | NO          | 
 cron_v2      | Grievance          | isAnonymous          | boolean                     | NO          | false
 cron_v2      | Grievance          | status               | text                        | NO          | 'pending'::text
 cron_v2      | Grievance          | resolvedBy           | text                        | YES         | 
 cron_v2      | Grievance          | resolution           | text                        | YES         | 
 cron_v2      | Grievance          | resolvedAt           | timestamp without time zone | YES         | 
 cron_v2      | Grievance          | createdAt            | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 cron_v2      | OtpLog             | id                   | text                        | NO          | 
 cron_v2      | OtpLog             | username             | text                        | NO          | 
 cron_v2      | OtpLog             | otp                  | text                        | NO          | 
 cron_v2      | OtpLog             | expiresAt            | timestamp without time zone | NO          | 
 cron_v2      | OtpLog             | createdAt            | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 cron_v2      | OtpLog             | consumedAt           | timestamp without time zone | YES         | 
 cron_v2      | Outing             | id                   | text                        | NO          | 
 cron_v2      | Outing             | studentId            | text                        | NO          | 
 cron_v2      | Outing             | studentGender        | text                        | NO          | 'M'::text
 cron_v2      | Outing             | reason               | text                        | NO          | 
 cron_v2      | Outing             | fromTime             | timestamp without time zone | NO          | 
 cron_v2      | Outing             | toTime               | timestamp without time zone | NO          | 
 cron_v2      | Outing             | hours                | integer                     | NO          | 0
 cron_v2      | Outing             | requestedTime        | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 cron_v2      | Outing             | isExpired            | boolean                     | NO          | false
 cron_v2      | Outing             | isApproved           | boolean                     | NO          | false
 cron_v2      | Outing             | isRejected           | boolean                     | NO          | false
 cron_v2      | Outing             | issuedBy             | text                        | NO          | 'none'::text
 cron_v2      | Outing             | issuedTime           | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 cron_v2      | Outing             | message              | text                        | YES         | 
 cron_v2      | Outing             | rejectedBy           | text                        | NO          | 'none'::text
 cron_v2      | Outing             | rejectedTime         | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 cron_v2      | Outing             | checkedOutTime       | timestamp without time zone | YES         | 
 cron_v2      | Outing             | checkedInTime        | timestamp without time zone | YES         | 
 cron_v2      | Outing             | currentLevel         | text                        | NO          | 'caretaker'::text
 cron_v2      | Outing             | approvalLogs         | jsonb                       | YES         | 
 cron_v2      | Outpass            | id                   | text                        | NO          | 
 cron_v2      | Outpass            | studentId            | text                        | NO          | 
 cron_v2      | Outpass            | studentGender        | text                        | NO          | 'M'::text
 cron_v2      | Outpass            | reason               | text                        | NO          | 
 cron_v2      | Outpass            | fromDay              | timestamp without time zone | NO          | 
 cron_v2      | Outpass            | toDay                | timestamp without time zone | NO          | 
 cron_v2      | Outpass            | days                 | integer                     | NO          | 0
 cron_v2      | Outpass            | requestedTime        | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 cron_v2      | Outpass            | isExpired            | boolean                     | NO          | false
 cron_v2      | Outpass            | isApproved           | boolean                     | NO          | false
 cron_v2      | Outpass            | isRejected           | boolean                     | NO          | false
 cron_v2      | Outpass            | issuedBy             | text                        | NO          | 'none'::text
 cron_v2      | Outpass            | issuedTime           | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 cron_v2      | Outpass            | message              | text                        | YES         | 
 cron_v2      | Outpass            | rejectedBy           | text                        | NO          | 'none'::text
 cron_v2      | Outpass            | rejectedTime         | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 cron_v2      | Outpass            | checkedOutTime       | timestamp without time zone | YES         | 
 cron_v2      | Outpass            | checkedInTime        | timestamp without time zone | YES         | 
 cron_v2      | Outpass            | currentLevel         | text                        | NO          | 'caretaker'::text
 cron_v2      | Outpass            | approvalLogs         | jsonb                       | YES         | 
 cron_v2      | _prisma_migrations | id                   | character varying           | NO          | 
 cron_v2      | _prisma_migrations | checksum             | character varying           | NO          | 
 cron_v2      | _prisma_migrations | finished_at          | timestamp with time zone    | YES         | 
 cron_v2      | _prisma_migrations | migration_name       | character varying           | NO          | 
 cron_v2      | _prisma_migrations | logs                 | text                        | YES         | 
 cron_v2      | _prisma_migrations | rolled_back_at       | timestamp with time zone    | YES         | 
 cron_v2      | _prisma_migrations | started_at           | timestamp with time zone    | NO          | now()
 cron_v2      | _prisma_migrations | applied_steps_count  | integer                     | NO          | 0
 files_v2     | Attendance         | id                   | text                        | NO          | 
 files_v2     | Attendance         | studentId            | text                        | NO          | 
 files_v2     | Attendance         | subjectId            | text                        | NO          | 
 files_v2     | Attendance         | semesterId           | text                        | NO          | 
 files_v2     | Attendance         | totalClasses         | integer                     | NO          | 
 files_v2     | Attendance         | attendedClasses      | integer                     | NO          | 
 files_v2     | Attendance         | createdAt            | timestamp without time zone | NO          | CURRENT_TIMESTAMP
 files_v2     | Attendance         | updatedAt            | timestamp without time zone | NO          | 
