 Schema: academics_v2 | Table: Attendance | Column: id | Type: text
 Schema: academics_v2 | Table: Attendance | Column: studentId | Type: text
 Schema: academics_v2 | Table: Attendance | Column: subjectId | Type: text
 Schema: academics_v2 | Table: Attendance | Column: semesterId | Type: text
 Schema: academics_v2 | Table: Attendance | Column: totalClasses | Type: integer
 Schema: academics_v2 | Table: Attendance | Column: attendedClasses | Type: integer
 Schema: academics_v2 | Table: Attendance | Column: batch | Type: text
 Schema: academics_v2 | Table: Attendance | Column: createdAt | Type: timestamp without time zone
 Schema: academics_v2 | Table: Attendance | Column: updatedAt | Type: timestamp without time zone
 Schema: academics_v2 | Table: Grade | Column: id | Type: text
 Schema: academics_v2 | Table: Grade | Column: studentId | Type: text
 Schema: academics_v2 | Table: Grade | Column: subjectId | Type: text
 Schema: academics_v2 | Table: Grade | Column: semesterId | Type: text
 Schema: academics_v2 | Table: Grade | Column: grade | Type: double precision
 Schema: academics_v2 | Table: Grade | Column: batch | Type: text
 Schema: academics_v2 | Table: Grade | Column: createdAt | Type: timestamp without time zone
 Schema: academics_v2 | Table: Grade | Column: updatedAt | Type: timestamp without time zone
 Schema: academics_v2 | Table: Subject | Column: id | Type: text
 Schema: academics_v2 | Table: Subject | Column: code | Type: text
 Schema: academics_v2 | Table: Subject | Column: name | Type: text
 Schema: academics_v2 | Table: Subject | Column: credits | Type: integer
 Schema: academics_v2 | Table: Subject | Column: department | Type: text
 Schema: academics_v2 | Table: Subject | Column: semester | Type: text
 Schema: academics_v2 | Table: _prisma_migrations | Column: id | Type: character varying
 Schema: academics_v2 | Table: _prisma_migrations | Column: checksum | Type: character varying
 Schema: academics_v2 | Table: _prisma_migrations | Column: finished_at | Type: timestamp with time zone
 Schema: academics_v2 | Table: _prisma_migrations | Column: migration_name | Type: character varying
 Schema: academics_v2 | Table: _prisma_migrations | Column: logs | Type: text
 Schema: academics_v2 | Table: _prisma_migrations | Column: rolled_back_at | Type: timestamp with time zone
 Schema: academics_v2 | Table: _prisma_migrations | Column: started_at | Type: timestamp with time zone
 Schema: academics_v2 | Table: _prisma_migrations | Column: applied_steps_count | Type: integer
 Schema: auth_v2 | Table: AuthCredential | Column: id | Type: text
 Schema: auth_v2 | Table: AuthCredential | Column: username | Type: text
 Schema: auth_v2 | Table: AuthCredential | Column: passwordHash | Type: text
 Schema: auth_v2 | Table: AuthCredential | Column: role | Type: text
 Schema: auth_v2 | Table: AuthCredential | Column: createdAt | Type: timestamp without time zone
 Schema: auth_v2 | Table: AuthCredential | Column: updatedAt | Type: timestamp without time zone
 Schema: auth_v2 | Table: AuthCredential | Column: isDisabled | Type: boolean
 Schema: auth_v2 | Table: OtpLog | Column: id | Type: text
 Schema: auth_v2 | Table: OtpLog | Column: username | Type: text
 Schema: auth_v2 | Table: OtpLog | Column: otp | Type: text
 Schema: auth_v2 | Table: OtpLog | Column: expiresAt | Type: timestamp without time zone
 Schema: auth_v2 | Table: OtpLog | Column: createdAt | Type: timestamp without time zone
 Schema: auth_v2 | Table: OtpLog | Column: consumedAt | Type: timestamp without time zone
 Schema: auth_v2 | Table: _prisma_migrations | Column: id | Type: character varying
 Schema: auth_v2 | Table: _prisma_migrations | Column: checksum | Type: character varying
 Schema: auth_v2 | Table: _prisma_migrations | Column: finished_at | Type: timestamp with time zone
 Schema: auth_v2 | Table: _prisma_migrations | Column: migration_name | Type: character varying
 Schema: auth_v2 | Table: _prisma_migrations | Column: logs | Type: text
 Schema: auth_v2 | Table: _prisma_migrations | Column: rolled_back_at | Type: timestamp with time zone
 Schema: auth_v2 | Table: _prisma_migrations | Column: started_at | Type: timestamp with time zone
 Schema: auth_v2 | Table: _prisma_migrations | Column: applied_steps_count | Type: integer
 Schema: cron_v2 | Table: Grievance | Column: id | Type: text
 Schema: cron_v2 | Table: Grievance | Column: studentId | Type: text
 Schema: cron_v2 | Table: Grievance | Column: studentEmail | Type: text
 Schema: cron_v2 | Table: Grievance | Column: category | Type: text
 Schema: cron_v2 | Table: Grievance | Column: description | Type: text
 Schema: cron_v2 | Table: Grievance | Column: isAnonymous | Type: boolean
 Schema: cron_v2 | Table: Grievance | Column: status | Type: text
 Schema: cron_v2 | Table: Grievance | Column: resolvedBy | Type: text
 Schema: cron_v2 | Table: Grievance | Column: resolution | Type: text
 Schema: cron_v2 | Table: Grievance | Column: resolvedAt | Type: timestamp without time zone
 Schema: cron_v2 | Table: Grievance | Column: createdAt | Type: timestamp without time zone
 Schema: cron_v2 | Table: OtpLog | Column: id | Type: text
 Schema: cron_v2 | Table: OtpLog | Column: username | Type: text
 Schema: cron_v2 | Table: OtpLog | Column: otp | Type: text
 Schema: cron_v2 | Table: OtpLog | Column: expiresAt | Type: timestamp without time zone
 Schema: cron_v2 | Table: OtpLog | Column: createdAt | Type: timestamp without time zone
 Schema: cron_v2 | Table: OtpLog | Column: consumedAt | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outing | Column: id | Type: text
 Schema: cron_v2 | Table: Outing | Column: studentId | Type: text
 Schema: cron_v2 | Table: Outing | Column: studentGender | Type: text
 Schema: cron_v2 | Table: Outing | Column: reason | Type: text
 Schema: cron_v2 | Table: Outing | Column: fromTime | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outing | Column: toTime | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outing | Column: hours | Type: integer
 Schema: cron_v2 | Table: Outing | Column: requestedTime | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outing | Column: isExpired | Type: boolean
 Schema: cron_v2 | Table: Outing | Column: isApproved | Type: boolean
 Schema: cron_v2 | Table: Outing | Column: isRejected | Type: boolean
 Schema: cron_v2 | Table: Outing | Column: issuedBy | Type: text
 Schema: cron_v2 | Table: Outing | Column: issuedTime | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outing | Column: message | Type: text
 Schema: cron_v2 | Table: Outing | Column: rejectedBy | Type: text
 Schema: cron_v2 | Table: Outing | Column: rejectedTime | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outing | Column: checkedOutTime | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outing | Column: checkedInTime | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outing | Column: currentLevel | Type: text
 Schema: cron_v2 | Table: Outing | Column: approvalLogs | Type: jsonb
 Schema: cron_v2 | Table: Outpass | Column: id | Type: text
 Schema: cron_v2 | Table: Outpass | Column: studentId | Type: text
 Schema: cron_v2 | Table: Outpass | Column: studentGender | Type: text
 Schema: cron_v2 | Table: Outpass | Column: reason | Type: text
 Schema: cron_v2 | Table: Outpass | Column: fromDay | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outpass | Column: toDay | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outpass | Column: days | Type: integer
 Schema: cron_v2 | Table: Outpass | Column: requestedTime | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outpass | Column: isExpired | Type: boolean
 Schema: cron_v2 | Table: Outpass | Column: isApproved | Type: boolean
 Schema: cron_v2 | Table: Outpass | Column: isRejected | Type: boolean
 Schema: cron_v2 | Table: Outpass | Column: issuedBy | Type: text
 Schema: cron_v2 | Table: Outpass | Column: issuedTime | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outpass | Column: message | Type: text
 Schema: cron_v2 | Table: Outpass | Column: rejectedBy | Type: text
 Schema: cron_v2 | Table: Outpass | Column: rejectedTime | Type: timestamp without time zone
 Schema: cron_v2 | Table: Outpass | Column: checkedOutTime | Type: timestamp without time zone
